name_only,img_urls,img_files,address_only
Duane Reade,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Duane_Reade_1627_Broadway_1_DannyPerez.jpg?itok=IlVquhMt,sitesdefaultfilesstyleslocationteaserpublicshoppingduanereade1627broadway1dannyperez.jpg,"1627 Broadway, NY"
Duane Reade,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Duane_Reade_Reade_1657_Broadway_1_DannyPerez.jpg?itok=mWHVWUDR,sitesdefaultfilesstyleslocationteaserpublicshoppingduanereadereade1657broadway1dannyperez.jpg,"1657 Broadway, NY"
Duane Reade,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Duane_Reade_1627_Broadway_1_DannyPerez.jpg?itok=IlVquhMt,sitesdefaultfilesstyleslocationteaserpublicshoppingduanereade1627broadway1dannyperez.jpg,"1627 Broadway, NY"
Duane Reade by Walgreen,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping-Duane-Reade-1530-Broadway.jpg?itok=VPYK-ZLh,sitesdefaultfilesstyleslocationteaserpublicshoppingduanereade1530broadway.jpg,"1530 Broadway, NY"
E C Professional Video Inc.,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_E%2BC%2BProfessional%2BVideo%2BInc.jpg?itok=As1Ulxo8,sitesdefaultfilesstyleslocationteaserpublicshoppinge2bc2bprofessional2bvideo2binc.jpg,"253 W 51st St, NY"
Equinox,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Equinox_1_DannyPerez.jpg?itok=_cOatbw_,sitesdefaultfilesstyleslocationteaserpublicshoppingequinox1dannyperez.jpg,"1633 Broadway, NY"
Eve Beauty Source,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Shopping_Eve_Beauty_Source_2_DannyPerez.jpg?itok=pjEQSpaT,sitesdefaultfilesstyleslocationteaserpublicshoppingevebeautysource2dannyperez.jpg,"778 Eighth Ave, NY"
Express,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/Express_1-compressor.jpg?itok=MldGA0gx,sitesdefaultfilesstyleslocationteaserpublicexpress1compressor.jpg,"1552 Broadway, NY"
FedEx,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/externals/c838f56d99d8dc315edf87db33cdd432.jpg?itok=mXGCc_OE,sitesdefaultfilesstyleslocationteaserpublicexternalsc838f56d99d8dc315edf87db33cdd432.jpg,"811 Seventh Ave, NY"
Foot Locker,https://www.timessquarenyc.org/sites/default/files/styles/location_teaser/public/FootLocker_1.jpeg?itok=SO453XYj,sitesdefaultfilesstyleslocationteaserpublicfootlocker1.jpeg,"1460 Broadway, NY"
